"facility_code","institution","longitude","latitude","ungeocodable"
"10101714","PITTSBORO POLICE DEPARTMENT",-87.5640387397176,37.978084671579,False
"10102107","TOWN OF SIMSBURY POLICE DEPARTMENT",-72.8001554285714,41.8803458571429,False
"10197004","ARKANSAS COMMUNITY CORRECTION AREA 13",-80.8464038,38.2662707,False
"10197504","US DEPARTMENT OF STATE ARKANSAS PASSPORT CENTER",-92.3970599,34.7458327,False
"10197604","STONE COUNTY SHERIFF DEPARTMENT",-92.1176521,35.8684075,False
"10197704","ARKANSAS GAME FISH COMMISSION",-92.380136,34.9608321,False
"10197804","ARKANSAS COMMUNITY CORRECTION AREA 3",-91.740783,35.251533,False
"10197904","ARKANSAS COMMUNITY CORRECTION AREA 1",-94.1574328,36.0625843,False
"10110128","VA MEDICAL CENTER-LAS VEGAS",-115.094036642115,36.2853096,False
"10110228","DEPARTMENT OF HOMELAND SECURITY-CITIZENSHIP & IMMIGRATION SERVICES-LAS VEGAS",-115.148516,36.1672559,False
"10110328","DEPARTMENT OF HOMELAND SECURITY-CITIZENSHIP & IMMIGRATION SERVICES-RENO",-119.75763214496,39.4453235259506,False
"10113030","CAMDEN COUNTY JUVENILE",-75.0641698821179,39.799232,False
"10169727","US CITIZENSHIP AND IMMIGRATION SERVICES-OMAHA FIELD OFFICE",-95.9291744,41.2813243,False
"10170127","DHS US CITIZENSHIP AND IMMIGRATION SERVICES - NVOC",-96.7092888190093,40.8186123,False
"10207115","UNITED STATES ATTORNEYS OFFICE",-93.6148526,41.5866574,False
"10208016","FAA KANSAS CITY ZKC TECHNICAL OPERATIONS",-94.7920184532702,38.8796849726298,False
"10209822","OSCAR G JOHNSON VA MEDICAL CENTER",-88.0614785,45.8102828,False
"10210222","THE POKAGON BAND OF POTAWATOMI TRIBAL POLICE DEPARTMENT",-86.1086228,41.9842123,False
"10210322","GRAND RAPIDS POLICE DEPARTMENT",-85.6687358731145,42.9636778,False
"10210422","JMAP WOLVERINE POWER SUPPLY COOPERATIVE & IBEW 876",-85.5741088,44.3353211,False
"10210522","IBEW LOCAL 17",-84.4231798,46.3353612,False
"10210622","BEVERLY HILLS POLICE DEPARTMENT",-83.2294787,42.5172099,False
"10210822","INTERNATIONAL UNION OF ELEVATOR CONSTRUCTORS LOCAL 36",-83.0663974,42.3271809,False
"10211216","SPRING HILL POLICE DEPARTMENT",-94.819184456287,38.7438405344463,False
"10289304","FAA LITTLE ROCK SYSTEM SUPPORT CENTER",-92.2896267,34.7465071,False
"10749513","MANTENO POLICE DEPARTMENT",-87.8338841055354,41.2518228650971,False
"10289404","FAA FORT SMITH SYSTEM SUPPORT CENTER",-94.3638250209458,35.33234095,False
