unitid,instnm,school_system_code,school_system_name,settlement_description,settlement_date,settlement_link
456348,ARGOSY UNIVERSITY-PHOENIX ONLINE DIVISION,301770,"Dream Center Education Holdings, LLC","Loss of Title IV Participation, Settlement with U.S. Government",02/27/2019,https://studentaid.ed.gov/sa/about/announcements/dream-center
452090,ARGOSY UNIVERSITY-SALT LAKE CITY,301770,"Dream Center Education Holdings, LLC","Loss of Title IV Participation, Settlement with U.S. Government, Assigned receiver has motioned court for an emergency closure of compus. Immenent closure is a distinct possible",03/08/2019,https://studentaid.ed.gov/sa/about/announcements/dream-center
450544,ARGOSY UNIVERSITY-SAN DIEGO,301770,"Dream Center Education Holdings, LLC","Settlement with U.S. Government, Upcoming Campus Closure (Details Posted on Institution Website)",11/16/2015,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and
121983,ARGOSY UNIVERSITY-SAN FRANCISCO BAY AREA,301770,"Dream Center Education Holdings, LLC","Loss of Title IV Participation, Settlement with U.S. Government, Upcoming Campus Closure (Details Posted on Institution Website), Assigned receiver has motioned court for an emergency closure of compus. Immenent closure is a distinct possible",03/08/2019,https://studentaid.ed.gov/sa/about/announcements/dream-center
137148,ARGOSY UNIVERSITY-SARASOTA,,,Settlement with U.S. Government,11/16/2015,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and
420866,ARGOSY UNIVERSITY-SCHAUMBURG,,,Settlement with U.S. Government,01/18/2019,https://www.wscuc.org/institutions/argosy-university
439057,ARGOSY UNIVERSITY-SEATTLE,,,Settlement with U.S. Government,11/16/2015,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and
428268,ARGOSY UNIVERSITY-TAMPA,301770,"Dream Center Education Holdings, LLC","Loss of Title IV Participation, Settlement with U.S. Government, Assigned receiver has motioned court for an emergency closure of compus. Immenent closure is a distinct possible",03/08/2019,https://studentaid.ed.gov/sa/about/announcements/dream-center
173984,ARGOSY UNIVERSITY-TWIN CITIES,301770,"Dream Center Education Holdings, LLC","Loss of Title IV Participation, Settlement with U.S. Government, Assigned receiver has motioned court for an emergency closure of compus. Immenent closure is a distinct possible",03/08/2019,https://studentaid.ed.gov/sa/about/announcements/dream-center
419457,ARGOSY UNIVERSITY-NORTHERN VA,301770,"Dream Center Education Holdings, LLC","Loss of Title IV Participation, Settlement with U.S. Government, Assigned receiver has motioned court for an emergency closure of compus. Immenent closure is a distinct possible",03/08/2019,https://studentaid.ed.gov/sa/about/announcements/dream-center
205647,BROWN MACKIE COLLEGE-AKRON,,,Settlement with U.S. Government,11/16/2015,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and
460039,BROWN MACKIE COLLEGE-ALBUQUERQUE,,,Settlement with U.S. Government,11/16/2015,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and
410283,BROWN MACKIE COLLEGE-ATLANTA,,,Settlement with U.S. Government,11/16/2015,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and
470162,BROWN MACKIE COLLEGE-BIRMINGHAM,,,Settlement with U.S. Government,11/16/2015,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and
455600,BROWN MACKIE COLLEGE-BOISE,,,Settlement with U.S. Government,11/16/2015,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and
205610,BROWN MACKIE COLLEGE-CINCINNATI,,,Settlement with U.S. Government,11/16/2015,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and
482954,BROWN MACKIE COLLEGE-DALLAS,,,Settlement with U.S. Government,11/16/2015,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and
375489,BROWN MACKIE COLLEGE-FINDLAY,,,Settlement with U.S. Government,11/16/2015,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and
408039,BROWN MACKIE COLLEGE-FORT WAYNE,,,Settlement with U.S. Government,11/16/2015,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and
456791,BROWN MACKIE COLLEGE-GREENVILLE,,,Settlement with U.S. Government,11/16/2015,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and
421513,BROWN MACKIE COLLEGE-HOPKINSVILLE,,,Settlement with U.S. Government,11/16/2015,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and
