facility no.,school name,total paid,count of adv pay students,count of reg students,total count of students
21014923,AMERICAN ACADEMY OF ACUPUNCTURE AND ORIENTAL MEDICINE,45,0,3,3
31048313,AMERICAN ACADEMY OF ART,30,0,2,2
25484410,AMERICAN ACADEMY OF COSMETOLOGY,300,0,20,20
34926432,AMERICAN ACADEMY OF DRAMATIC ARTS,75,0,5,5
34901405,AMERICAN ACADEMY OF DRAMATIC ARTS-LOS ANGELES,285,0,19,19
25062521,AMERICAN ACADEMY OF PERSONAL TRAINING BOSTON,150,0,10,10
25363732,AMERICAN AIRMAN GROUND SCHOOL,405,0,27,27
25466447,AMERICAN ALPINE INSTITUTE,675,0,45,45
31903242,AMERICAN BAPTIST COLLEGE,150,0,10,10
31300005,AMERICAN BAPTIST SEMINARY OF THE WEST,30,0,2,2
25009938,AMERICAN BARBER ACADEMY,75,0,5,5
28405132,AMERICAN BARBER INSTITUTE,540,0,36,36
25007744,AMERICAN BEAUTY ACADEMY,15,0,1,1
25009744,AMERICAN BEAUTY ACADEMY-SALT LAKE,15,0,1,1
25178605,AMERICAN BEAUTY COLLEGE,255,0,17,17
25389932,AMERICAN BEAUTY SCHOOL INC,15,0,1,1
28028236,AMERICAN BROADCASTING SCHOOL-OKLAHOMA CITY,15,0,1,1
25390432,AMERICAN BUILDING INSPECTION & TRAINING CO INC,30,0,2,2
24951025,AMERICAN BUSINESS AND TECHNOLOGY UNIVERSITY,1155,0,77,77
31200579,AMERICAN BUSINESS SCHOOL,15,0,1,1
24002505,AMERICAN CAREER COLLEGE-ANAHEIM,900,0,60,60
24003705,AMERICAN CAREER COLLEGE-LOS ANGELES,600,0,40,40
24002405,AMERICAN CAREER COLLEGE-ONTARIO,1260,0,84,84
31119274,AMERICAN COLLEGE DUBLIN,30,0,2,2
219C8110,AMERICAN COLLEGE FOR MEDICAL CAREERS,150,0,10,10
25507514,AMERICAN COLLEGE MASSAGE SCHOOL INC,30,0,2,2
21037143,AMERICAN COLLEGE OF ACUPUNCTURE AND ORIENTAL MED,15,0,1,1
25534217,AMERICAN COLLEGE OF BARBERING,255,0,17,17
23000114,AMERICAN COLLEGE OF EDUCATION,1050,1,69,70
31000238,AMERICAN COLLEGE OF FINANCIAL SERVICES,315,0,21,21
31000781,AMERICAN COLLEGE OF GREECE,90,0,6,6
25558325,AMERICAN COLLEGE OF HAIR DESIGN INC,15,0,1,1
25171805,AMERICAN COLLEGE OF HEALTHCARE AND TECHNOLOGY,375,0,25,25
25192205,AMERICAN COLLEGE OF HEALTHCARE AND TECHNOLOGY-HUNTINGTON PARK,45,0,3,3
24000237,AMERICAN COLLEGE OF HEALTHCARE SCIENCES,2565,0,171,171
25002640,AMERICAN COLLEGE OF THE BUILDING ARTS,225,0,15,15
31100381,AMERICAN COLLEGE THESSALONIKI,45,0,3,3
25806232,AMERICAN COMEDY INSTITUTE,15,0,1,1
28000708,AMERICAN DRIVER TRAINING ACADEMY,270,0,18,18
31618805,AMERICAN FILM INSTITUTE CONSERVATORY,90,0,6,6
25177305,AMERICAN FITNESS AND NUTRITION ACADEMY,255,0,17,17
25261210,AMERICAN FLIGHT TRAINING,15,0,1,1
25262810,AMERICAN FLIGHT TRAINING LLC,15,0,1,1
25014530,AMERICAN FLYERS,105,0,7,7
25075743,AMERICAN FLYERS,60,0,4,4
25043743,AMERICAN FLYERS-ADDISON,225,0,15,15
25250610,AMERICAN FLYERS-POMPANO BEACH,165,0,11,11
11000179,AMERICAN GRADUATE SCHOOL IN PARIS,45,0,3,3
21110005,AMERICAN GRADUATE UNIVERSITY,1590,0,106,106
25893621,AMERICAN GRAPHICS INSTITUTE LLC,15,0,1,1
25142305,AMERICAN GUNSMITHING INSTITUTE,660,0,44,44
25218315,AMERICAN HAIR ACADEMY,30,0,2,2
25054646,AMERICAN HELICOPTERS INC,120,0,8,8
21519135,AMERICAN INSTITUTE OF ALTERNATIVE MEDICINE,45,0,3,3
25450510,AMERICAN INSTITUTE OF BEAUTY-LARGO,135,0,9,9
25498510,AMERICAN INSTITUTE OF BEAUTY-ST PETERSBURG,195,0,13,13
25088812,AMERICAN INSTITUTE OF CLINICAL MASSAGE,45,0,3,3
25027803,AMERICAN INSTITUTE OF DENTAL ASSISTING,60,0,4,4
25116205,AMERICAN INSTITUTE OF EDUCATION,15,0,1,1
25005307,AMERICAN INSTITUTE OF HEALTHCARE & TECHNOLOGY LLC,15,0,1,1
25816403,AMERICAN INSTITUTE OF INTERIOR DESIGN,15,0,1,1
