va_facility_code,va_facility_name,school_level_va,retention_rate_veteran_ba,retention_rate_veteran_otb,persistance_rate_veteran_ba,persistance_rate_veteran_otb,graduation_rate_veteran,transfer_out_rate_veteran
249M2343,THE COLLEGE OF HEALTH CARE PROFESSIONS-AUSTIN,2-year,,0.714,,1.0,0.333,0.333
25021106,AUGUSTE ESCOFFIER SCHOOL OF CULINARY ARTS-BOULDER,NCD,,0.875,,1.0,,
24956036,COMMUNITY CARE COLLEGE,2-year,,0.8,,0.8,0.0,0.0
24335732,ITT TECHNICAL INSTITUTE-GETZVILLE,2-year,,1.0,,1.0,0.273,0.273
24804103,CARRINGTON COLLEGE-MESA,2-year,,0.75,,1.0,0.0,1.0
24983413,LINCOLN COLLEGE OF TECHNOLOGY-MELROSE PARK,2-year,,1.0,,1.0,0.2,0.3
24800446,CENTURA COLLEGE-CHESAPEAKE,2-year,,1.0,,1.0,0.0,0.0
25001007,PORTER AND CHESTER INSTITUTE OF ROCKY HILL,NCD,,0.892,,0.919,0.25,
25446010,BEAUTY SCHOOLS OF AMERICA-MIAMI,NCD,,1.0,,1.0,,
31000709,TRINITY WASHINGTON UNIVERSITY,4-year,1.0,,1.0,,,
31947440,MORRIS COLLEGE,4-year,0.333,,0.667,,,
31015430,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY-JOINT BASE MCGUIRE-DIX-LAKEHURST,4-year,0.832,0.683,0.903,0.857,,
33000627,CONCORDIA UNIVERSITY - NEBRASKA,4-year,,,,,,
31905105,PACIFIC UNION COLLEGE,4-year,,,,,,
31012443,SOUTHWESTERN UNIVERSITY,4-year,1.0,,1.0,,,
31904242,CUMBERLAND UNIVERSITY,4-year,0.5,,0.5,,,
31914025,MIDWESTERN BAPTIST THEOLOGICAL SEMINARY,4-year,0.5,,0.5,,,
31907116,UPPER IOWA UNIVERSITY-FORT LEAVENWORTH,4-year,0.735,0.6,0.824,0.8,,
31804310,STETSON UNIVERSITY COLLEGE OF LAW,4-year,0.889,0.5,0.889,0.571,,
31484047,WALLA WALLA UNIVERSITY,4-year,0.667,,1.0,,,
31910833,CAROLINA COLLEGE OF BIBLICAL STUDIES,4-year,1.0,1.0,1.0,1.0,,
14908432,JAMESTOWN COMMUNITY COLLEGE,2-year,,0.667,,0.75,0.2,0.267
11802607,UNIVERSITY OF CONNECTICUT-HARTFORD CAMPUS,4-year,0.75,,1.0,,,
14918410,NORTH FLORIDA COMMUNITY COLLEGE,2-year,,1.0,,1.0,0.0,1.0
21517935,ITT TECHNICAL INSTITUTE-YOUNGSTOWN,4-year,1.0,0.833,1.0,0.833,,
21820106,WESTWOOD COLLEGE-DENVER NORTH,4-year,,1.0,,1.0,,
24002506,BEL-REA INSTITUTE OF ANIMAL TECHNOLOGY,2-year,,1.0,,1.0,0.0,0.5
21004833,ITT TECHNICAL INSTITUTE-CHARLOTTE SOUTH,4-year,,0.857,,1.0,,
21906133,SOUTH UNIVERSITY-HIGH POINT,4-year,0.833,0.929,0.917,0.929,,
21114705,UNIVERSITY OF ANTELOPE VALLEY,4-year,,0.5,,0.5,,
18847710,ERWIN TECHNICAL COLLEGE,NCD,,1.0,,1.0,,
21425747,SANFORD-BROWN COLLEGE-SEATTLE,4-year,0.833,1.0,1.0,1.0,,
24105531,COMPUTER CAREER CENTER,2-year,,0.838,,0.932,0.438,0.438
24804303,CARRINGTON COLLEGE-PHOENIX WESTSIDE,2-year,,1.0,,1.0,0.5,0.25
25075943,NEW HORIZONS CLC OF FW LLC,NCD,,,,,,
24P32238,ITT TECHNICAL INSTITUTE-PHILADELPHIA,2-year,,1.0,,1.0,,
24801324,VIRGINIA COLLEGE-JACKSON,2-year,,1.0,,1.0,0.0,0.444
25060546,NEW HORIZONS COMPUTER LEARNING CENTER OF RICHMOND,NCD,,0.0,,0.0,,
24843310,SOUTHERN TECHNICAL COLLEGE BRANDON,2-year,,0.852,,0.852,0.227,0.636
25058501,"NEW HORIZONS COMPUTER LEARNING CENTERS - B'HAM, ALABAMA",NCD,,0.333,,0.611,,
25103124,DELTA TECHNICAL COLLEGE HORN LAKE,NCD,,1.0,,1.0,1.0,
28019637,INTERNATIONAL INSTITUTE OF TRANSPORTATION RESOURCE,NCD,,0.0,,0.167,,
31001603,PARK UNIVERSITY,4-year,0.688,0.655,0.81,0.828,,
31001040,NEWBERRY COLLEGE,4-year,1.0,,1.0,,,
31000816,KANSAS WESLEYAN UNIVERSITY,4-year,1.0,,1.0,,,
31000948,WEST VIRGINIA  WESLEYAN COLLEGE,4-year,0.0,,0.0,,,
31807010,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY-TYNDALL AFB,4-year,0.832,0.683,0.903,0.857,,
31801505,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY-WORLDWIDE,4-year,0.832,0.683,0.903,0.857,,
31935436,PARK UNIVERSITY,4-year,0.688,0.655,0.81,0.828,,
31922107,FAIRFIELD UNIVERSITY,4-year,1.0,,1.0,,,
31806710,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY-PATRICK AFB,4-year,0.832,0.683,0.903,0.857,,
31120325,COLUMBIA COLLEGE KANSAS CITY,4-year,0.713,0.655,0.787,0.858,,
319A3138,KEYSTONE COLLEGE,4-year,0.75,0.667,0.75,1.0,,
31929914,INDIANA INSTITUTE OF TECHNOLOGY-GREENWOOD,4-year,0.818,1.0,0.909,1.0,,
32900415,MERCY COLLEGE OF HEALTH SCIENCES,4-year,,1.0,,1.0,,
31010049,ALVERNO COLLEGE,4-year,1.0,,1.0,,,
31033743,PARK UNIVERSITY GOODFELLOW,4-year,0.688,0.655,0.81,0.828,,
31954113,WHEATON COLLEGE,4-year,,,,,,
11104105,UNIVERSITY OF CALIFORNIA-MERCED,4-year,,,,,,
11000631,NEW MEXICO INSTITUTE OF MINING & TECHNOLOGY,4-year,0.5,,0.5,,,
11925138,PENNSYLVANIA STATE UNIVERSITY-PENN STATE LEHIGH VALLEY,4-year,0.875,,1.0,,,
14931423,MINN STATE COLLEGE SE TECHNICAL-WINONA,2-year,,0.4,,0.6,0.0,0.333
14930433,MONTGOMERY COMMUNITY COLLEGE,2-year,,1.0,,1.0,0.0,0.5
11806224,UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,4-year,0.882,,0.941,,,
14902415,NORTH IOWA AREA COMMUNITY COLLEGE,2-year,,0.667,,0.833,0.0,0.5
14900433,ISOTHERMAL COMMUNITY COLLEGE,2-year,,0.6,,1.0,0.0,0.0
21908125,NATIONAL AMERICAN UNIVERSITY,4-year,1.0,0.0,1.0,1.0,,
21904533,CHARLOTTE SCHOOL OF LAW,4-year,,,,,,
15013306,PICKENS TECHNICAL COLLEGE,NCD,,0.5,,0.75,,
15010142,TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-NASHVILLE,NCD,,1.0,,1.0,,
24006421,LE CORDON BLEU COLLEGE OF CULINARY ARTS-CAMBRIDGE,2-year,,0.444,,0.667,0.0,1.0
21803905,WESTWOOD COLLEGE-SOUTH BAY,4-year,,0.75,,0.75,,
24004905,ADVANCED TRAINING ASSOCIATES,2-year,,0.75,,1.0,0.333,0.667
24037343,KAPLAN COLLEGE-ARLINGTON,2-year,,0.667,,0.667,0.5,0.25
25001940,ARCLABS-COLUMBIA,NCD,,0.167,,0.5,,
25071843,MEDIATECH INSTITUTE-DALLAS,NCD,,1.0,,1.0,,
25013328,CRI COUNTER TERRORISM TRAINING SCHOOL,NCD,,,,,,
31005733,MARS HILL UNIVERSITY,4-year,1.0,,1.0,,,
31000129,DARTMOUTH COLLEGE,4-year,,,,,,
31008942,WEBSTER UNIVERSITY,4-year,0.708,0.0,0.792,0.0,,
31000741,UNIVERSITY OF SIOUX FALLS,4-year,,,,,,
31001221,EMERSON COLLEGE,4-year,,,,,,
