unitid,cipcode,ctotalt
100858,50.0901,10
100858,51.0204,61
100858,51.0204,24
100858,51.0204,5
100858,51.0701,57
100858,51.1005,7
100858,51.1099,9
100858,51.2001,130
100858,51.2003,4
100858,51.2003,9
100858,51.2401,116
100858,51.2501,11
100858,51.2501,7
100858,51.3801,161
100858,51.3801,0
100858,51.3801,49
100858,52.0201,218
100858,52.0201,165
100858,52.0201,4
100858,52.0201,4
100858,52.0203,133
100858,52.0203,2
100858,52.0301,157
100858,52.0301,6
100858,52.0301,86
100858,52.0301,2
100858,52.0601,0
100858,52.0601,0
100858,52.0601,10
100858,52.0801,176
100858,52.0801,11
100858,52.0901,52
100858,52.1001,39
100858,52.1101,29
100858,52.1101,2
100858,52.1201,0
100858,52.1201,25
100858,52.1301,10
100858,52.1301,0
100858,52.1301,1
100858,52.1401,120
100858,54.0101,40
100858,54.0101,4
100858,54.0101,9
100858,54.0101,3
100858,54.0101,10
100858,99,4420
100858,99,162
100858,99,1186
100858,99,36
100858,99,272
100858,99,251
100858,99,0
100858,99,94
100937,3.0103,6
100937,5.0103,2
100937,9.0199,7
100937,13.1206,10
100937,13.1312,1
100937,13.9999,1
100937,14.0102,2
100937,16.0905,2
100937,16.0905,3
100937,23.0101,6
100937,26.0101,36
100937,26.0101,1
100937,27.0101,13
100937,27.0101,2
100937,30.1001,3
100937,30.2001,2
100937,30.9999,5
100937,38.0101,1
100937,38.0201,7
100937,40.0501,12
100937,40.0801,3
100937,42.0101,19
100937,45.0601,10
100937,45.1001,9
100937,45.1101,2
100937,45.9999,2
100937,45.9999,2
100937,50.0501,4
100937,50.0501,1
100937,50.0509,6
100937,50.0605,0
100937,50.0701,0
100937,50.0702,5
100937,50.0703,2
100937,50.0708,0
100937,50.0709,0
100937,50.0901,9
100937,50.0901,1
100937,50.0903,0
100937,50.0904,1
100937,50.0907,0
100937,50.0908,0
100937,50.0999,0
100937,52.0201,51
100937,52.0301,8
100937,52.0301,2
100937,54.0101,14
100937,99,261
100937,99,12
101028,11.0101,3
101028,11.0101,1
101028,11.0101,11
101028,15.0613,7
101028,15.0613,1
101028,15.0613,2
101028,19.0708,0
101028,19.0708,0
101028,24.0101,18
101028,24.0102,130
101028,43.0107,0
101028,43.0107,15
101028,43.0202,2
101028,43.0202,7
101028,43.9999,0
101028,50.0401,0
101028,50.0401,4
101028,50.0902,0
101028,51.0801,4
101028,51.0801,7
101028,51.0904,29
101028,51.3801,22
101028,51.3901,8
101028,52.0201,3
101028,52.0201,19
101028,52.0301,0
101028,52.0401,1
101028,52.0401,0
101028,52.0401,7
101028,99,47
101028,99,12
101028,99,242
101073,13.1202,6
101073,13.1209,5
101073,13.121,0
101073,24.0101,0
101073,24.0199,22
101073,30.1701,2
101073,43.0104,6
101073,52.0201,12
101073,52.0213,4
101073,52.0299,13
101073,52.1201,0
101073,99,35
101073,99,35
101116,11.0401,5
101116,11.0401,4
101116,11.1001,0
101116,22.0302,5
101116,22.0302,5
101116,39.0602,1
101116,42.0101,0
101116,43.0103,8
101116,43.0107,5
101116,44.0401,1
101116,51.0001,4
101116,51.0701,3
101116,51.0701,4
101116,51.0801,5
101116,51.0806,33
101116,51.3801,28
101116,51.3803,4
101116,51.3805,20
101116,51.3805,2
101116,51.3817,1
101116,52.0101,2
101116,52.0201,9
101116,52.0201,3
101116,52.0213,1
101116,99,45
101116,99,59
101116,99,46
101116,99,2
101116,99,1
101143,11.0101,0
101143,11.0101,1
101143,11.0803,2
101143,15.1202,0
101143,19.0708,0
101143,19.0708,2
101143,22.0302,0
101143,22.0302,3
101143,24.0101,37
101143,24.0102,99
101143,47.0607,0
101143,47.0607,50
101143,47.0608,0
101143,47.0608,43
101143,47.0609,19
101143,51.0707,5
101143,51.0904,5
101143,51.0904,0
101143,51.0904,0
101143,52.0201,0
101143,52.0201,27
101143,52.0401,1
101143,52.0401,10
101143,99,12
101143,99,1
101143,99,291
101161,1.0605,2
101161,1.0605,0
101161,1.0605,7
101161,10.0304,3
101161,10.0304,2
101161,11.0101,7
101161,11.0101,20
101161,15.0803,0
101161,15.1202,0
101161,19.0708,0
101161,22.0302,9
101161,24.0101,82
101161,24.0102,215
101161,31.0301,0
101161,31.0301,0
101161,46.0499,2
101161,47.0303,6
101161,47.0303,13
101161,47.9999,0
101161,48.0508,1
101161,50.0402,1
101161,50.0402,2
101161,50.0402,8
101161,51.0601,11
101161,51.0601,9
101161,51.0808,14
101161,51.0904,34
101161,51.0904,3
101161,51.0904,5
101161,51.0909,11
101161,51.0909,11
101161,51.3801,71
101161,51.3901,19
101161,52.0201,6
101161,52.0401,22
101161,52.0901,2
101161,52.0901,0
101161,52.0901,17
101161,52.1501,0
101161,99,55
101161,99,49
101161,99,511
101189,11.0101,5
101189,11.0104,2
101189,11.0701,2
101189,13.1202,7
101189,13.1202,4
101189,13.1305,2
101189,13.1311,0
101189,13.1311,1
101189,13.1314,4
101189,13.1314,1
101189,13.1316,1
101189,13.1317,1
101189,13.1322,2
101189,13.1322,5
101189,13.1324,1
101189,13.1328,0
101189,22,1
101189,22,8
101189,22.0101,73
101189,22.9999,0
101189,22.9999,0
101189,23.0101,4
101189,23.0101,1
101189,23.9999,0
101189,24.0101,8
101189,24.0101,3
101189,24.0103,1
101189,24.0103,6
101189,26.0101,1
101189,26.0101,1
101189,26.0202,3
101189,27.0101,0
101189,30.2801,27
101189,31.0504,16
101189,39.0201,2
101189,39.0201,2
101189,39.0201,0
101189,39.0201,1
101189,39.0601,0
101189,39.0699,0
101189,39.0702,2
101189,39.0702,2
101189,42.0101,0
101189,42.2801,1
101189,42.2803,6
101189,42.2812,1
101189,43.0103,27
101189,43.0104,0
101189,43.0104,73
101189,43.0111,0
101189,45.0101,0
101189,50.0501,1
101189,50.0502,0
101189,50.0901,0
101189,51.1102,3
101189,51.1103,0
101189,51.1104,0
101189,51.1109,3
101189,51.1508,3
101189,51.1508,29
101189,52.0101,37
101189,52.0201,179
101189,52.0201,35
101189,52.0301,5
101189,52.1001,73
101189,52.1301,5
101189,52.1301,42
101189,54.0101,1
101189,99,10
101189,99,455
101189,99,178
101189,99,6
101189,99,73
101189,99,2
101240,1.0303,4
101240,9.9999,7
101240,11.0101,0
101240,11.0101,4
101240,11.0101,10
101240,12.0401,0
101240,12.0401,37
101240,15.0201,21
101240,15.0201,12
101240,15.0201,13
101240,15.0303,0
101240,15.0303,27
101240,15.0303,26
101240,15.0501,25
101240,15.0501,5
101240,15.0501,18
101240,15.0613,0
101240,15.0613,0
101240,15.0613,0
101240,15.1301,5
101240,15.1301,5
101240,15.1301,6
101240,19.0708,15
101240,19.0708,12
101240,22.0302,9
101240,22.0303,3
101240,22.0303,4
101240,24.0101,11
101240,24.0102,204
101240,46.0101,0
101240,46.0101,9
101240,46.0201,14
101240,46.0302,0
101240,47.0303,131
101240,47.0303,64
101240,47.0303,46
101240,47.0603,7
101240,47.0603,4
101240,47.0604,8
101240,47.0604,3
101240,47.0605,7
101240,48.0507,13
101240,48.0507,10
101240,48.0507,9
101240,48.0508,51
101240,48.0508,28
101240,51.0904,8
101240,51.0909,13
101240,51.0911,11
101240,51.1004,15
101240,51.1501,10
101240,51.3501,16
101240,51.3801,83
101240,51.3901,54
101240,51.3902,11
101240,52.0302,14
101240,52.0302,11
101240,52.0401,20
101240,52.0401,2
101240,52.0401,37
101240,52.0408,0
101240,52.1801,4
101240,99,371
101240,99,271
101240,99,554
101277,12.0401,68
