Facility Code,Name of Institution,State,Country,Number of Trainees,Profit Status,Type of Payment,Total Cost,Number of payments
31922107,Fairfield University,Connecticut,,21,Private non-profit,Yellow Ribbon,"$207,457.20",50
31921414,Huntington University,Indiana,,1,Private non-profit,Yellow Ribbon,"$1,935.84",1
31921121,"Springfield College, Springfield, Ma",Massachusetts,,5,Private non-profit,Yellow Ribbon,"$7,500.00",6
31920121,Assumption College,Massachusetts,,4,Private non-profit,Yellow Ribbon,"$5,791.89",5
31920105,California Institute Of The Arts,California,,6,Private non-profit,Yellow Ribbon,"$47,830.13",11
31919138,Immaculata University,Pennsylvania,,4,Private non-profit,Yellow Ribbon,"$10,903.38",4
31919122,Cornerstone University,Michigan,,1,Private non-profit,Yellow Ribbon,$500.00,1
31919113,Benedictine University-Lisle,Illinois,,13,Private non-profit,Yellow Ribbon,"$39,910.10",19
31919105,Western University Of Health Sciences,California,,3,Private non-profit,Yellow Ribbon,"$5,268.10",3
31918138,Moravian College,Pennsylvania,,7,Private non-profit,Yellow Ribbon,"$43,867.51",9
31918132,Cazenovia College,New York,,2,Private non-profit,Yellow Ribbon,"$5,408.41",2
31918121,College Of Our Lady Of The Elms,Massachusetts,,6,Private non-profit,Yellow Ribbon,"$28,000.00",8
31918113,Roosevelt University,Illinois,,25,Private non-profit,Yellow Ribbon,"$40,058.56",32
31917138,Marywood University,Pennsylvania,,13,Private non-profit,Yellow Ribbon,"$81,781.07",21
31917132,Five Towns College,New York,,3,Private non-profit,Yellow Ribbon,"$2,631.70",3
31917121,Montserrat College Of Art,Massachusetts,,2,Private non-profit,Yellow Ribbon,"$8,621.68",2
31917113,Lake Forest Graduate School Of Management,Illinois,,2,Private non-profit,Yellow Ribbon,"$6,251.24",5
31917106,Regis University,Colorado,,3,Private non-profit,Yellow Ribbon,"$3,919.20",4
31917105,University Of San Francisco-Registrars Office,California,,63,Private non-profit,Yellow Ribbon,"$108,009.28",81
31916414,Saint Joseph'S College,Indiana,,2,Private non-profit,Yellow Ribbon,"$5,407.09",2
31916138,Elizabethtown College,Pennsylvania,,2,Private non-profit,Yellow Ribbon,"$1,120.00",2
31916132,College Of St Rose,New York,,11,Private non-profit,Yellow Ribbon,"$46,876.23",20
31916121,Boston College,Massachusetts,,44,Private non-profit,Yellow Ribbon,"$175,666.09",66
31916120,Capitol Technology University,Maryland,,11,Private non-profit,Yellow Ribbon,"$19,015.44",14
