FACILITY NO.,SCHOOL NAME,STATION,COUNT OF ADV PAY STUDENTS,COUNT OF REG STUDENTS,TOTAL COUNT OF STUDENTS, TOTAL PAID                          
31002469,KASEM BUNDIT UNIVERSITY                                               ,307,0,1,1,$9.00 
31002569,UNDERWOOD INTERNATIONAL COLL                                          ,307,0,1,1,$9.00 
31005269,OHR SOMAYACH TANENBAUM COLLEGE                                        ,307,0,3,3,$27.00 
31006269,ASSUMPTION UNIVERSITY                                                 ,307,0,7,7,$63.00 
31100069,BANGKOK UNIVERSITY                                                    ,307,0,14,14,$126.00 
31100569,JERUSALEM UNIVERSITY COLLEGE                                          ,307,0,6,6,$54.00 
31101469,UNIVERSITY OF NORTH KOREAN STUDIES                                    ,307,0,1,1,$9.00 
31102469,PAYAP UNIVERSITY                                                      ,307,0,20,20,$180.00 
31112369,RANGSIT UNIVERSITY                                                    ,307,0,1,1,$9.00 
31112569,AMERICAN UNIVERSITY IN DUBAI                                          ,307,0,1,1,$9.00 
31120269,INTERCULTURAL THEATRE INSTITUTE LTD                                   ,307,0,1,1,$9.00 
31120669,HULT INTERNATIONAL BUS SCHOOL                                         ,307,0,4,4,$36.00 
31151069,ASIAN UNIVERSITY                                                      ,307,0,6,6,$54.00 
31200069,JERUSALEM ACADEMY OF JEWISH STUDIES                                   ,307,0,1,1,$9.00 
31200269,MACHON MEIR                                                           ,307,0,1,1,$9.00 
31210169,TORCH TRINITY GRADUATE UNIV                                           ,307,0,1,1,$9.00 
31300469,HANKUK UNIVERSITY OF FOREIGN STUDIES                                  ,307,0,2,2,$18.00 
31300569,BEREA INTERNATIONAL THEOLOGICAL SEMINARY                              ,307,0,1,1,$9.00 
31300669,ULSAN UNIVERSITY                                                      ,307,0,1,1,$9.00 
31300769,TAMKANG UNIVERSITY                                                    ,307,0,1,1,$9.00 
31800169,KOREA UNIVERSITY                                                      ,307,0,5,5,$45.00 
31800269,YONSEI UNIV COLL SOC SCIENCES                                         ,307,0,1,1,$9.00 
31830069,INSEAD                                                                ,307,0,1,1,$9.00 
11000170,GRIFFITH UNIVERSITY                                                   ,307,0,6,6,$54.00 
11000270,AUSTRALIAN NATIONAL UNIVERSITY                                        ,307,0,3,3,$27.00 
11000470,UNIVERSITY OF MELBOURNE                                               ,307,0,3,3,$27.00 
11000670,BOX HILL INSTITUTE                                                    ,307,0,1,1,$9.00 
11000770,UNIVERSITY OF SOUTHERN QUEENSLAND                                     ,307,0,1,1,$9.00 
11000870,UNIVERSITY OF WESTERN AUSTRALIA                                       ,307,0,3,3,$27.00 
11001970,UNIVERSITY OF NEW ENGLAND                                             ,307,0,2,2,$18.00 
11002070,DEAKIN UNIVERSITY                                                     ,307,0,3,3,$27.00 
11002170,UNIVERSITY OF TECHNOLOGY SYDNEY                                       ,307,0,3,3,$27.00 
11100070,CHARLES STURT UNIVERSITY                                              ,307,0,1,1,$9.00 
11100170,UNIVERSITY OF NEWCASTLE                                               ,307,0,3,3,$27.00 
11100270,SWINBURNE UNIVERSITY OF TECHNOLOGY                                    ,307,0,2,2,$18.00 
11100370,ROYAL MELBOURNE INSTITUTE OF TECHNOLOGY                               ,307,0,2,2,$18.00 
11100570,MACQUARIE UNIVERSITY                                                  ,307,0,3,3,$27.00 
11100670,UNIVERSITY OF QUEENSLAND                                              ,307,0,13,13,$117.00 
11100970,UNIVERSITY OF SYDNEY                                                  ,307,0,4,4,$36.00 
11101070,LA TROBE UNIVERSITY                                                   ,307,0,2,2,$18.00 
11101170,UNIVERSITY OF THE SUNSHINE COAST                                      ,307,0,1,1,$9.00 
11101270,UNIVERSITY OF CANBERRA                                                ,307,0,3,3,$27.00 
11101470,MONASH UNIVERSITY                                                     ,307,0,4,4,$36.00 
11101670,CENTRAL QUEENSLAND UNIVERSITY                                         ,307,0,1,1,$9.00 
11101770,MURDOCH UNIVERSITY                                                    ,307,0,5,5,$45.00 
11101870,QUEENSLAND UNIVERSITY OF TECH                                         ,307,0,7,7,$63.00 
11102070,UNIVERSITY OF WOLLONGONG                                              ,307,0,1,1,$9.00 
11102270,UNIVERSITY OF NEW SOUTH WALES                                         ,307,0,4,4,$36.00 
11102370,JAMES COOK UNIVERSITY                                                 ,307,0,6,6,$54.00 
11102570,AUSTRALIAN CATHOLIC UNIVERSITY                                        ,307,0,4,4,$36.00 
11102670,UNIVERSITY OF ADELAIDE                                                ,307,0,1,1,$9.00 
11102770,VICTORIA UNIVERSITY                                                   ,307,0,2,2,$18.00 
11103070,CHISHOLM INSTITUTE                                                    ,307,0,1,1,$9.00 
11200070,UNIVERSITY OF SOUTH AUSTRALIA                                         ,307,0,1,1,$9.00 
21103270,SP JAIN SCHOOL OF GLOBAL MANAGEMENT                                   ,307,0,2,2,$18.00 
21103470,ACADEMY OF INFORMATION TECHNOLOGY                                     ,307,0,1,1,$9.00 
24800070,SAE CREATIVE MEDIA INSTITUTE                                          ,307,0,2,2,$18.00 
31000170,ENDEAVOR COLLEGE OF NATURAL HEALTH                                    ,307,0,1,1,$9.00 
31100270,AUSTRALIAN INSTITUTE OF BUSINESS                                      ,307,0,1,1,$9.00 
31116670,UNIVERSITY OF WESTERN SYDNEY                                          ,307,0,3,3,$27.00 
31144470,BOND UNIVERSITY                                                       ,307,0,7,7,$63.00 
31165570,UNIVERSITY OF NOTRE DAME                                              ,307,0,1,1,$9.00 
31500070,NAZARENE THEOLOGICAL COLLEGE                                          ,307,0,1,1,$9.00 
34300070,TAFE NSW-SYDNEY INSTITUTE                                             ,307,0,1,1,$9.00 
11000171,UNIVERSITY OF VIENNA                                                  ,307,0,1,1,$9.00 
11000573,UNIVERSITY OF KENT-BRUSSELS                                           ,307,0,3,3,$27.00 
21000473,BRUSSELS BUSINESS INSTITUTE                                           ,307,0,1,1,$9.00 
31000373,KU LEUVEN-UNIVERSITY OF LEUVEN                                        ,307,0,4,4,$36.00 
31100173,VESALIUS COLLEGE                                                      ,307,0,2,2,$18.00 
31100473,EUROPEAN POST GRADUATE SCHOOL OF INTERNATIONAL & DEVELOPMENTAL STUDIES,307,0,1,1,$9.00 
11000174,ROYAL HOLLOWAY                                                        ,307,0,2,2,$18.00 
11000574,MANCHESTER METROPOLITAN UNIVERSITY                                    ,307,0,4,4,$36.00 
11000774,NORWICH UNIVERSITY OF THE ARTS                                        ,307,0,1,1,$9.00 
11001074,UNIVERSITY OF STIRLING                                                ,307,0,4,4,$36.00 
11001174,UNIVERSITY OF BRADFORD                                                ,307,0,2,2,$18.00 
11001274,UNIV OF THE WEST OF ENGLAND                                           ,307,0,2,2,$18.00 
11001374,CRANFIELD UNIVERSITY                                                  ,307,0,1,1,$9.00 
11001474,ANGLIA RUSKIN UNIVERSITY                                              ,307,0,25,25,$225.00 
11001674,UNIVERSITY OF PORTSMOUTH                                              ,307,0,6,6,$54.00 
11001774,UNIVERSITY OF ST ANDREWS                                              ,307,0,15,15,$135.00 
11002074,UNIVERSITY OF SOUTHAMPTON                                             ,307,0,2,2,$18.00 
11002174,DUBLIN CITY UNIVERSITY                                                ,307,0,1,1,$9.00 
11002274,LONDON SCHOOL OF ECONOMICS                                            ,307,0,12,12,$108.00 
11002374,BATH SPA UNIVERSITY                                                   ,307,0,3,3,$27.00 
11002474,UNIVERSITY OF SURREY                                                  ,307,0,2,2,$18.00 
11002574,UNIVERSITY OF BIRMINGHAM                                              ,307,0,1,1,$9.00 
11002674,NORTHUMBRIA UNIVERSITY                                                ,307,0,4,4,$36.00 
11002774,OXFORD BROOKES UNIVERSITY                                             ,307,0,6,6,$54.00 
11002874,GOLDSMITHS COLLEGE                                                    ,307,0,6,6,$54.00 
11002974,MAYNOOTH UNIVERSITY                                                   ,307,0,2,2,$18.00 
