Facility code,Name of institution,State,Country, Number of trainees ,Profit status,Type of payment,Tuition and Fees Cost, Number of payments 
31045543,The King'S University,Texas,, 16 ,Private non-profit,School Tuition & Fees,"$91,046.97", 32 
31045313,Lindenwood University-Belleville,Illinois,, 102 ,Private non-profit,School Tuition & Fees,"$868,902.96", 256 
31045213,Providence Baptist College,Illinois,, 3 ,Private non-profit,School Tuition & Fees,"$6,389.76", 4 
31045113,Calumet College Of Saint Joseph,Illinois,, 21 ,Private non-profit,School Tuition & Fees,"$119,349.00", 79 
31044913,The Chicago School Of Professional Psychology-Online,Illinois,, 71 ,Private non-profit,School Tuition & Fees,"$695,185.42", 230 
31044813,The Chicago School Of Professional Psychology,Illinois,, 13 ,Private non-profit,School Tuition & Fees,"$134,734.83", 26 
31044743,Wayland Baptist University El Paso,Texas,, 13 ,Private non-profit,School Tuition & Fees,"$70,786.02", 27 
31044643,Hallmark University-College Of Aeronautics,Texas,, 143 ,Private non-profit,School Tuition & Fees,"$1,545,838.41"," 2,141 "
31044143,The National Graduate School Of Quality Management,Texas,, 3 ,Private non-profit,School Tuition & Fees,"$32,724.83", 17 
31044113,Northwestern University Law School,Illinois,, 17 ,Private non-profit,School Tuition & Fees,"$327,209.10", 19 
31043913,Northwestern University Medical School Programs-Physical Therapy,Illinois,, 5 ,Private non-profit,School Tuition & Fees,"$94,529.16", 10 
31043862,New Era University,Philippines,, 5 ,Private non-profit,School Tuition & Fees,"$2,550.38", 8 
31043843,Hallmark University,Texas,, 195 ,Private non-profit,School Tuition & Fees,"$2,144,301.19", 816 
31043743,Grace School Of Theology,Texas,, 5 ,Private non-profit,School Tuition & Fees,"$8,461.24", 10 
31043713,Northwestern University-Feinberg School Of Medicine,Illinois,, 4 ,Private non-profit,School Tuition & Fees,"$68,881.42", 7 
31043613,Columbia College At Highland Community College,Illinois,, 2 ,Private non-profit,School Tuition & Fees,"$6,084.00", 4 
31043313,Rosalind Franklin University Of Medicine And Science,Illinois,, 17 ,Private non-profit,School Tuition & Fees,"$193,425.53", 33 
31043213,Iit-Chicago-Kent College Of Law,Illinois,, 6 ,Private non-profit,School Tuition & Fees,"$17,917.95", 7 
31043062,Divine Word College Of Laoag,Philippines,, 2 ,Private non-profit,School Tuition & Fees,$623.54, 3 
31042913,Spertus College-Institute Of Jewish Studies,Illinois,, 1 ,Private non-profit,School Tuition & Fees,"$14,520.00", 1 
31042813,Midwestern University-Downers Grove,Illinois,, 10 ,Private non-profit,School Tuition & Fees,"$71,764.15", 11 
31042713,East-West University,Illinois,, 10 ,Private non-profit,School Tuition & Fees,"$124,789.11", 23 
31042543,Fuller Theological Seminary In California,Texas,, 4 ,Private non-profit,School Tuition & Fees,"$32,762.00", 9 
31042243,Embry-Riddle Aeronautical University-Ft Bliss,Texas,, 12 ,Private non-profit,School Tuition & Fees,"$46,130.00", 27 
31041243,Letourneau University-Houston,Texas,, 2 ,Private non-profit,School Tuition & Fees,"$11,912.50", 11 
31040543,Tulane University Of Louisiana,Texas,, 5 ,Private non-profit,School Tuition & Fees,"$118,987.90", 20 
31040413,Park University Scott Afb,Illinois,, 73 ,Private non-profit,School Tuition & Fees,"$196,569.13", 169 
31040113,Columbia College Of Missouri-Lake County,Illinois,, 122 ,Private non-profit,School Tuition & Fees,"$339,672.31", 288 
31040013,Webster University-Scott Afb,Illinois,, 101 ,Private non-profit,School Tuition & Fees,"$401,566.98", 275 
31039062,Miriam College Foundation Inc,Philippines,, 1 ,Private non-profit,School Tuition & Fees,"$2,316.52", 3 
31038643,Springfield College,Texas,, 2 ,Private non-profit,School Tuition & Fees,"$24,211.00", 4 
31038062,De La Salle - Lipa,Philippines,, 5 ,Private non-profit,School Tuition & Fees,"$6,744.27", 8 
31037232,Rensselaer Polytechnic Institute,New York,, 70 ,Private non-profit,School Tuition & Fees,"$1,401,936.18", 77 
31037043,Baptist University Of The Americas,Texas,, 1 ,Private non-profit,School Tuition & Fees,"$4,865.00", 2 
31036832,Hebrew Union College-Jewish Institute Of Religion,New York,, 1 ,Private non-profit,School Tuition & Fees,$950.00, 1 
31036413,Trinity International University-Trinity Evangelical Divinity School,Illinois,, 10 ,Private non-profit,School Tuition & Fees,"$53,564.88", 44 
31034313,Moody Bible Institute,Illinois,, 70 ,Private non-profit,School Tuition & Fees,"$298,983.06", 186 
31034243,Embry-Riddle Aeronautical University-Sheppard Afb,Texas,, 15 ,Private non-profit,School Tuition & Fees,"$40,385.00", 34 
31034113,John Marshall Law School,Illinois,, 15 ,Private non-profit,School Tuition & Fees,"$263,128.75", 20 
31034043,Park University Randolph,Texas,, 142 ,Private non-profit,School Tuition & Fees,"$442,024.19", 352 
31033913,Lutheran School Of Theology At Chicago,Illinois,, 2 ,Private non-profit,School Tuition & Fees,"$18,864.00", 4 
31033743,Park University Goodfellow,Texas,, 42 ,Private non-profit,School Tuition & Fees,"$127,409.00", 89 
