Facility Code,Name of Institution,State,Country,Number of Trainees,Profit Status,Type of Payment,Tuition and Fees Cost,Number of payments
13901101,Alabama State University,Alabama,,125,Public,School Tuition & Fees,"$619,305.03",220
13900127,Chadron State College,Nebraska,,51,Public,School Tuition & Fees,"$200,284.21",155
13817032,Suny College At Oneonta,New York,,35,Public,School Tuition & Fees,"$179,627.55",57
13800048,West Liberty University,West Virginia,,32,Public,School Tuition & Fees,"$212,030.86",89
13400425,Truman State University,Missouri,,34,Public,School Tuition & Fees,"$181,027.29",62
13310832,Suny College At Oswego (Oswego State University),New York,,105,Public,School Tuition & Fees,"$522,926.03",237
13310232,Suny College At Potsdam,New York,,102,Public,School Tuition & Fees,"$546,949.32",234
13310032,Suny College At Cortland,New York,,41,Public,School Tuition & Fees,"$236,422.49",88
13301032,Suny College At Geneseo,New York,,35,Public,School Tuition & Fees,"$180,763.98",71
13300932,Suny College At Fredonia,New York,,41,Public,School Tuition & Fees,"$187,072.52",70
13300225,Harris-Stowe State University,Missouri,,4,Public,School Tuition & Fees,"$16,301.63",11
13115025,Missouri State University-West Plains,Missouri,,71,Public,School Tuition & Fees,"$170,816.10",125
13001324,Delta State University,Mississippi,,46,Public,School Tuition & Fees,"$173,113.53",94
